abate;to reduce, lessen;(The rain poured down for a while, then abated.)
abduct;to kidnap, take by force;(The evildoers abducted the fairy princess from her happy home.)
aberration;something that differs from the norm;(In 1918, the Boston Red Sox won the World Series, but the success turned out to be an aberration, and the Red Sox have not won a World Series since.)
abet;to aid, help, encourage;(The spy succeeded only because he had a friend on the inside to abet him.)
abdicate;to give up a position, usually one of leadership;(When he realized that the revolutionaries would surely win, the king abdicated his throne.)
abhor;to hate, detest;(Because he always wound up kicking himself in the head when he tried to play soccer, Oswald began to abhor the sport.)
abject;wretched, pitiful;(After losing all her money, falling into a puddle, and breaking her ankle, Eloise was abject.)
abjure;to reject, renounce;(To prove his honesty, the President abjured the evil policies of his wicked predecessor.)
abnegation;denial of comfort to oneself;(The holy man slept on the floor, took only cold showers, and generally followed other practices of abnegation.)
abort;to give up on a half-finished project or effort;(After they ran out of food, the men, attempting to jump rope around the world, had to abort and go home.)
abrogate;to abolish, usually by authority;(The Bill of Rights assures that the government cannot abrogate our right to a free press.)
abscond;to sneak away and hide;(In the confusion, the super-spy absconded into the night with the secret plans.)
absolution;freedom from blame, guilt, sin;(Once all the facts were known, the jury gave Angela absolution by giving a verdict of not guilty.)
abstain;to freely choose not to commit an action;(Everyone demanded that Angus put on the kilt, but he did not want to do it and abstained.)
abstruse;hard to comprehend;(Everyone else in the class understood geometry easily, but John found the subject abstruse.)
accede;to agree;(When the class asked the teacher whether they could play baseball instead of learn grammar they expected him to refuse, but instead he acceded to their request.)
accentuate;to stress, highlight;(Psychologists agree that those people who are happiest accentuate the positive in life.)
accessible;obtainable, reachable;(After studying with SparkNotes and getting a great score on the SAT, Marlena happily realized that her goal of getting into an Ivy-League college was accessible.)
acclaim; high praise;(Greg’s excellent poem won the acclaim of his friends.);
accolade;high praise, special distinction;(Everyone offered accolades to Sam after he won the Noble Prize.)
accommodating;helpful, obliging, polite;(Though the apartment was not big enough for three people, Arnold, Mark, and Zebulon were all friends and were accommodating to each other.)
accord;an agreement;(After much negotiating, England and Iceland finally came to a mutually beneficial accord about fishing rights off the cost of Greenland.)
accost;to confront verbally;(Though Antoinette was normally quite calm, when the waiter spilled soup on her for the fourth time in 15 minutes she stood up and accosted the man.)
accretion; slow growth in size or amount;(Stalactites are formed by the accretion of minerals from the roofs of caves.);
acerbic;biting, bitter in tone or taste;(Jill became extremely acerbic and began to cruelly make fun of all her friends.)
acquiesce;to agree without protesting;(Though Mr. Correlli wanted to stay outside and work in his garage, when his wife told him that he had better come in to dinner, he acquiesced to her demands.)
acumen;keen insight;(Because of his mathematical acumen, Larry was able to figure out in minutes problems that took other students hours.)
adamant;impervious, immovable, unyielding;(Though public pressure was intense, the President remained adamant about his proposal.)
adept; extremely skilled;(Tarzan was adept at jumping from tree to tree like a monkey.);
acrimony;bitterness, discord;(Though they vowed that no girl would ever come between them, Biff and Trevor could not keep acrimony from overwhelming their friendship after they both fell in love with the lovely Teresa.)
admonish;to caution, criticize, reprove;(Joe’s mother admonished him not to ruin his appetite by eating cookies before dinner.)
adorn; to decorate;(We adorned the tree with ornaments.);
adroit;skillful, dexterous;(The adroit thief could pick someone’s pocket without attracting notice.)
adulation;extreme praise;(Though the book was pretty good, Marcy did not believe it deserved the adulation it received.)
adumbrate;to sketch out in a vague way;(The coach adumbrated a game plan, but none of the players knew precisely what to do.)
adverse;antagonistic, unfavorable, dangerous;(Because of adverse conditions, the hikers decided to give up trying to climb the mountain.)
aerial; somehow related to the air;(We watched as the fighter planes conducted aerial maneuvers.);
aesthetic;artistic, related to the appreciation of beauty;(We hired Susan as our interior decorator because she has such a fine aesthetic sense.)
affable;friendly, amiable;(People like to be around George because he is so affable and good-natured.)
affinity;a spontaneous feeling of closeness;(Jerry didn’t know why, but he felt an incredible affinity for Kramer the first time they met.)
affluent;rich, wealthy;(Mrs. Grebelski was affluent, owning a huge house, three cars, and an island near Maine.)
affront;an insult;(Bernardo was very touchy, and took any slight as an affront to his honor.)
aggrandize; to increase or make greater;(Joseph always dropped the names of the famous people his father knew as a way to aggrandize his personal stature.);
aggrieved;distressed, wronged, injured;(The foreman mercilessly overworked his aggrieved employees.)
agile;quick, nimble;(The dogs were too slow to catch the agile rabbit.)
agnostic;believing that the existence of God cannot be proven or disproven;(Joey’s parents are very religious, but he is agnostic.)
agriculture;farming;(It was a huge step in the progress of civilization when tribes left hunting and gathering and began to develop more sustainable methods of obtaining food, such as agriculture.)
aisle; a passageway between rows of seats;(Once we got inside the stadium we walked down the aisle to our seats.);
alacrity;eagerness, speed;(For some reason, Chuck loved to help his mother whenever he could, so when his mother asked him to set the table he did so with alacrity.)
alias; a false name or identity;(He snuck past the guards by using an alias and fake ID.);
allay;to soothe, ease;(The chairman of the Federal Reserve gave a speech to try to allay investors’ fears about an economic downturn.)
alleviate;to relieve, make more bearable;(This drug will alleviate the symptoms of the terrible disease, but only for a while.)
allocate;to distribute, set aside;(The Mayor allocated 30 percent of the funds for improving the town’s schools.)
aloof;reserved, distant;(The scientist could sometimes seem aloof, as if he didn’t care about his friends or family, but really he was just thinking about quantum mechanics.)
altercation;a dispute, fight;(Jason and Lionel blamed one another for the car accident, leading to an altercation.)
allege;to assert, usually without proof;(The policeman had alleged that Marshall committed the crime, but after the investigation turned up no evidence, Marshall was set free.)
amalgamate;to bring together, unite;(Because of his great charisma, the presidential candidate was able to amalgamate all democrats and republicans under his banner.)
